DATA UPLOADED BY?,MONITORED BY?,DATE MONITORED?,Treatment,TAG ID,"PLANTER TYPE? 3"" TP or 5"" TP",HEALTH A=Alive D=Dead DY=Dying,CONDITION H=Healthy W=Wilting D=Diseased P=Predation,TOTAL HEIGHT (cm),EPICOTYL HEIGHT (cm),TOTAL # OF LEAVES,NOTES?,
HM,"HH,HB",6/4/2025,,NT 1,"3"" TP",A,H,48.6,30.4,9,,
HM,"HH,HB",6/4/2025,,NT 2,"3"" TP",A,H,43.6,27.3,6,,
HM,"HH,HB",6/4/2025,,NT 3,"3"" TP",A,H,50.5,29.2,7,,
HM,"HH,HB",6/4/2025,,NT 4,"3"" TP",A,H,37.8,21.7,7,,
HM,"HH,HB",6/4/2025,,NT 5,"3"" TP",A,H,42.8,17.6,10,,
HM,"HH,HB",6/4/2025,,NT 6,"3"" TP",A,H,39.6,20.6,6,,
HM,"HH,HB",6/4/2025,,NT 7,"3"" TP",A,H,42.9,19.7,7,,
HM,"HH,HB",6/4/2025,,NT 8,"3"" TP",A,H,50.9,31.1,10,,
HM,"HH,HB",6/4/2025,,NT 9,"3"" TP",A,H,33.2,19.4,8,,
HM,"HH,HB",6/4/2025,,NT 10,"3"" TP",A,H,39.5,26.8,8,,
HM,"HH,HB",6/4/2025,,NT 11,"3"" TP",A,H,49.9,27.1,4,,
HM,"HH,HB",6/4/2025,,NT 12,"3"" TP",A,H,47.5,24.2,5,,
HM,"HH,HB",6/4/2025,,NT 13,"3"" TP",A,H,49.5,36.2,6,,
HM,"HH,HB",6/4/2025,,NT 14,"3"" TP",A,H,30.5,30.6,10,,
HM,"HH,HB",6/4/2025,,NT 15,"3"" TP",A,H,46.3,33.9,8,,
HM,"HH,HB",6/4/2025,,NT 16,"3"" TP",A,H,48,27.1,6,,
HM,"HH,HB",6/4/2025,,NT 17,"3"" TP",A,H,52.3,24,5,,
HM,"HH,HB",6/4/2025,,NT 18,"3"" TP",A,H,45.7,24.7,5,,
HM,"HH,HB",6/4/2025,,NT 19,"3"" TP",A,H,34.3,25.5,5,,
HM,"HH,HB",6/4/2025,,NT 20,"3"" TP",A,H,42.9,18.9,10,,
AR,"SM, AR",6/4/2025,,CR 1,"5"" TP",A,H,43.5,34.5,6,,
AR,"SM, AR",6/4/2025,,CR 2,"5"" TP",A,H,39.6,30.9,5,,
AR,"SM, AR",6/4/2025,,CR 3,"5"" TP",A,H,29.3,25.1,9,,
AR,"SM, AR",6/4/2025,,CR 4,"5"" TP",A,H,46,29.8,5,,
AR,"SM, AR",6/4/2025,,CR 5,"5"" TP",A,H,42.7,29.8,6,,
AR,"SM, AR",6/4/2025,,CR 6,"5"" TP",A,H,34.9,24,6,,
AR,"SM, AR",6/4/2025,,CR 7,"5"" TP",A,H,31.8,15.4,7,sad droopy leaves,
AR,"SM, AR",6/4/2025,,CR 8,"5"" TP",A,H,43.9,28.5,10,,
AR,"SM, AR",6/4/2025,,CR 9,"5"" TP",A,H,27.4,22.3,6,,
AR,"SM, AR",6/4/2025,,CR 10,"5"" TP",A,H,45,34.2,5,,
AR,"SM, AR",6/4/2025,,CR 11,"5"" TP",A,H,42.2,29.4,6,,
AR,"SM, AR",6/4/2025,,CR 12,"5"" TP",A,H,35.1,23.8,8,,
AR,"SM, AR",6/4/2025,,CR 13,"5"" TP",A,H,36.1,22.5,4,,
AR,"SM, AR",6/4/2025,,CR 14,"5"" TP",A,H,42.9,32,6,,
AR,"SM, AR",6/4/2025,,CR 15,"5"" TP",A,H,37.6,21.6,6,,
AR,"SM, AR",6/4/2025,,CR 16,"5"" TP",A,H,46.3,31.2,8,,
AR,"SM, AR",6/4/2025,,CR 17,"5"" TP",A,H,43.8,31.2,5,,
AR,"SM, AR",6/4/2025,,CR 18,"5"" TP",A,H,41,27.3,6,,
AR,"SM, AR",6/4/2025,,CR 19,"5"" TP",A,H,38.5,30.1,6,,
AR,"SM, AR",6/4/2025,,CR 20,"5"" TP",A,H,37.5,23.6,5,,
AR,"SM, AR",6/4/2025,,UR 1,"5"" TP",A,H,45,33,4,,
AR,"SM, AR",6/4/2025,,UR 2,"5"" TP",A,H,41,24.2,4,,
AR,"SM, AR",6/4/2025,,UR 3,"5"" TP",A,H,44.2,28.5,9,droopy leaves,
AR,"SM, AR",6/4/2025,,UR 4,"5"" TP",A,H,47.5,26,6,,
AR,"SM, AR",6/4/2025,,UR 5,"5"" TP",A,H,36.7,26.5,8,,
AR,"SM, AR",6/4/2025,,UR 6,"5"" TP",A,H,59.4,32.6,7,,
AR,"SM, AR",6/4/2025,,UR 7,"5"" TP",A,H,40.1,24.2,6,,
AR,"SM, AR",6/4/2025,,UR 8,"5"" TP",A,H,33.5,24,11,2 branches,
AR,"SM, AR",6/4/2025,,UR 9,"5"" TP",A,H,50.8,30.5,10,,
AR,"SM, AR",6/4/2025,,UR 10,"5"" TP",A,H,53.9,32,9,,
AR,"SM, AR",6/4/2025,,UR 11,"5"" TP",A,H,43,35.7,6,,
AR,"SM, AR",6/4/2025,,UR 12,"5"" TP",A,H,48.4,26,7,,
AR,"SM, AR",6/4/2025,,UR 13,"5"" TP",A,H,39.1,30.4,8,,
AR,"SM, AR",6/4/2025,,UR 14,"5"" TP",A,H,33.3,18.3,9,,
AR,"SM, AR",6/4/2025,,UR 15,"5"" TP",A,H,59.1,28.9,10,2 branches,
AR,"SM, AR",6/4/2025,,UR 16,"5"" TP",A,H,46.7,25.4,7,,
AR,"SM, AR",6/4/2025,,UR 17,"5"" TP",A,H,44.4,28,11,0NE BRANCH WITH TWO LEAVES ,
AR,"SM, AR",6/4/2025,,UR 18,"5"" TP",A,H,44.7,25.5,5,,
AR,"SM, AR",6/4/2025,,UR 19,"5"" TP",A,H,42.7,30.7,8,,
AR,"SM, AR",6/4/2025,,UR 20,"5"" TP",A,H,38.5,25.5,8,,
SH,"SA, SH",6/11/2025,,UR 1,"5"" TP",A,H,44.1,33,4,,
SH,"SA, SH",6/11/2025,,UR 9,"5"" TP",A,"H, W",50.1,36.8,9,,
SH,"SA, SH",6/11/2025,,UR 5,,A,H,37,26.5,8,,
SH,"SA, SH",6/11/2025,,UR 4,,A,H,46.2,27,6,,
SH,"SA, SH",6/11/2025,,UR 6,,A,H,62.5,32.8,8,,
SH,"SA, SH",6/11/2025,,UR 8,,A,H,33.8,23,11,,
SH,"SA, SH",6/11/2025,,UR 3,,A,"H, W",45,28.3,8,,
SH,"SA, SH",6/11/2025,,UR 2,,A,H,41,24.6,4,,
SH,"SA, SH",6/11/2025,,UR 7,,A,H,39.8,23.8,6,,
SH,"SA, SH",6/11/2025,,UR 17,,A,H,44.3,28.5,11,,
SH,"SA, SH",6/11/2025,,UR 11,,A,H,43.4,23.9,6,,
SH,"SA, SH",6/11/2025,,UR 20,,A,H,38,26.3,8,,
SH,"SA, SH",6/11/2025,,UR 15,,A,H,56,28.2,10,,
SH,"SA, SH",6/11/2025,,UR 12,,A,H,51,26,6,,
SH,"SA, SH",6/11/2025,,UR 19,,A,H,41.8,32,7,,
SH,"SA, SH",6/11/2025,,UR 10,,A,H,56,34.6,9,,
SH,"SA, SH",6/11/2025,,UR 16,,A,H,46.4,27.6,7,,
SH,"SA, SH",6/11/2025,,UR 18,,A,"UH, W",46,26,4,,
SH,"SA, SH",6/11/2025,,UR 13,,A,H,39.5,30.5,8,,
SH,"SA, SH",6/11/2025,,CR 1,"5"" TP",A,H,36.5,23,4,,
SH,"SA, SH",6/11/2025,,CR 10,"5"" TP",A,H,27.8,21.8,5,,
SH,"SA, SH",6/11/2025,,CR 11,"5"" TP",A,H,42.2,29,7,,
